TIME,unknown
1979,281.26303
1980,281.9963
1981,282.65204
1982,281.36014
1983,281.8738
1984,281.67633
1985,281.26108
1986,282.32416
1987,282.62833
1988,281.9915
1989,281.47668
1990,282.35025
1991,282.32034
1992,282.14117
1993,281.52954
1994,282.2489
1995,282.00235
1996,281.2708
1997,281.61444
1998,282.97183
1999,282.26782
2000,282.2192
2001,282.45782
2002,282.06308
2003,282.23474
2004,282.13416
2005,282.60657
2006,282.89172
2007,282.34265
2008,281.5367
2009,281.87543
2010,282.28506
2011,282.04724
2012,283.3886
2013,281.92685
2014,281.8874
2015,283.02795
2016,283.0869
2017,282.72052
2018,282.44998
2019,281.8881
2020,282.35245
2021,282.89352
2022,282.19232
2023,283.4279
